股票代碼,公司名稱,公司產業,上市櫃,prev_body,avg_volume_5d,foreign_yesterday,foreign_3days,trust_yesterday,trust_3days
8084,巨虹,電子通路業,上櫃,0.6000000000000014,193.4004,-47.0,68.0,0.0,0.0
8085,福華,其他電子業,上櫃,0.04999999999999716,1009.3610000000001,153.0,63.0,0.0,0.0
8086,宏捷科,半導體業,上櫃,2.5,8088.5462,-522.0,1253.87,0.0,0.0
8087,麗升能源,綠能環保,上櫃,0.3999999999999986,29.088199999999993,-1.0,2.0,0.0,0.0
8088,品安,半導體業,上櫃,6.400000000000006,20248.94,-1380.9,-512.95,0.0,0.0
8089,康全電訊,通信網路業,上櫃,0.5,342.4428,-65.0,2.0,0.0,0.0
8091,翔名,半導體業,上櫃,0.5,502.74039999999997,134.0,254.0,0.0,-1.22
8092,建暐,其他電子業,上櫃,0.5500000000000007,360.18379999999996,-30.0,-23.0,0.0,0.0
8093,保銳,電子零組件業,上櫃,0.6000000000000014,49.982800000000005,0.0,0.0,0.0,0.0
8096,擎亞,電子通路業,上櫃,1.1000000000000014,6091.1521999999995,88.0,-2325.05,0.0,0.0
8097,常珵,通信網路業,上櫃,0.29999999999999716,161.14780000000002,5.0,-33.0,0.0,0.0
8099,大世科,資訊服務業,上櫃,0.7000000000000028,134.2178,-25.0,-23.0,0.0,0.0
8101,華冠,通信網路業,上市,0.0,12.048000000000002,-0.07,-0.07,0.0,0.0
8103,瀚荃,電子零組件業,上市,3.9000000000000057,4990.073600000001,703.82,-259.53,0.0,149.0
8104,錸寶,光電業,上市,0.20000000000000284,5752.475200000001,26.96,453.04,0.0,0.0
8105,凌巨,光電業,上市,0.4499999999999993,7914.4734,-247.0,12.0,0.0,0.0
8107,大億金茂,電機機械,上櫃,0.29999999999999893,751.351,5.0,-10.0,0.0,0.0
8109,博大,電子零組件業,上櫃,1.0,267.9522,122.0,352.27,0.0,0.0
8110,華東,半導體業,上市,7.200000000000003,64268.474,-2561.67,-14268.32,229.0,1182.0
8111,立碁,光電業,上櫃,1.2000000000000028,4755.9442,-209.04,-121.1,0.0,0.0
8112,至上,電子通路業,上市,0.20000000000000284,34558.067,6365.53,-10402.34,-217.11,-317.37
8114,振樺電,電腦及週邊設備業,上市,1.5,1455.5708,-94.0,-896.42,0.0,233.0
8121,越峰,電子零組件業,上櫃,1.0,1590.909,122.0,890.0,0.0,0.0
8131,福懋科,半導體業,上市,1.6000000000000085,25825.296599999998,3780.0,-520.15,120.0,525.0
8147,正淩,電子零組件業,上櫃,0.5,112.2302,6.0,3.33,0.0,0.0
8150,南茂,半導體業,上市,3.0999999999999943,89716.84400000001,4726.47,6037.18,0.0,0.0
8155,博智,電子零組件業,上櫃,1.0,1180.326,296.0,162.0,99.0,24.0
8163,達方,電腦及週邊設備業,上市,0.5,1116.2012,241.0,509.0,-7.71,-23.14
8171,天宇,綠能環保,上櫃,0.4499999999999993,782.5568,48.0,-168.0,0.0,0.0
8176,智捷,通信網路業,上櫃,0.40000000000000036,209.9448,14.0,13.0,0.0,0.0
8182,加高,電子零組件業,上櫃,0.14999999999999858,292.45840000000004,-1.0,9.0,0.0,0.0
8183,精星,其他電子業,上櫃,0.14999999999999858,355.5432,64.0,93.0,0.0,0.0
8201,無敵,其他電子業,上市,0.3500000000000014,601.762,-14.0,5.0,0.0,0.0
8210,勤誠,電腦及週邊設備業,上市,7.0,1687.2984000000001,405.76,438.98,7.6,-136.4
8213,志超,電子零組件業,上市,0.7000000000000028,632.8309999999999,453.0,1205.5,0.0,0.0
8215,明基材,光電業,上市,0.0,1084.4392,-97.0,-162.0,0.0,-5.0
8222,寶一,電機機械,上市,0.6999999999999957,1318.9896,-60.0,-20.0,0.0,0.0
8227,巨有科技,半導體業,上櫃,3.5,333.00419999999997,-5.0,-94.0,0.0,0.0
8234,新漢,電腦及週邊設備業,上櫃,1.0999999999999943,1057.3700000000001,114.0,257.0,0.0,0.0
8240,華宏,光電業,上櫃,0.9500000000000028,1202.9724,175.0,372.0,0.0,0.0
8249,菱光,電子零組件業,上市,2.3999999999999986,6679.8009999999995,-125.35,-1585.15,0.0,0.0
8255,朋程,電機機械,上櫃,1.5,627.3942,11.98,195.98,0.0,0.0
8261,富鼎,半導體業,上市,2.5,4671.2096,830.6,-123.28,-43.0,-132.0
8271,宇瞻,半導體業,上市,7.0,12902.843799999999,-523.0,270.45,19.0,70.0
8272,全景軟體,資訊服務業,上櫃,2.700000000000003,15.8196,2.0,2.0,0.0,0.0
8277,商丞,半導體業,上櫃,0.0,584.5618000000001,0.0,-7.0,0.0,0.0
8279,生展,生技醫療業,上櫃,0.5,59.96759999999999,6.0,6.0,0.0,0.0
8284,三竹,資訊服務業,上櫃,0.0,81.08919999999999,-1.0,7.0,0.0,0.0
8289,泰藝,電子零組件業,上櫃,0.20000000000000284,523.5162,9.0,24.0,0.0,0.0
8291,尚茂,電子零組件業,上櫃,0.0,0.0,0.0,0.0,0.0,0.0
8299,群聯,半導體業,上櫃,20.0,6860.3814,565.54,-1192.37,913.0,1799.8
8341,日友,綠能環保,上市,0.5999999999999943,709.1135999999999,4.88,114.03,0.0,0.0
8342,益張,其他業,上櫃,0.0,5.0684,-1.0,4.0,0.0,0.0
8349,恒耀,鋼鐵工業,上櫃,0.09999999999999432,192.23059999999998,16.0,15.0,0.0,0.0
8354,冠好,其他業,上櫃,0.3000000000000007,90.15800000000002,2.0,7.0,0.0,0.0
8358,金居,電子零組件業,上櫃,5.0,3426.7722000000003,984.27,3176.77,0.0,-2.0
8367,建新國際,航運業,上市,0.25,46.7976,-5.0,-71.0,0.0,0.0
